,Date,Hour,SUMS
641,27.01.2016,17,0
642,27.01.2016,18,0
643,27.01.2016,19,0
644,27.01.2016,20,0
645,27.01.2016,21,0
646,27.01.2016,22,0
647,27.01.2016,23,0
648,28.01.2016,0,0
649,28.01.2016,1,0
650,28.01.2016,2,0
651,28.01.2016,3,0
652,28.01.2016,4,0
653,28.01.2016,5,0
654,28.01.2016,6,0
655,28.01.2016,7,88.986
656,28.01.2016,8,108.619
657,28.01.2016,9,183.453
658,28.01.2016,10,214.331
659,28.01.2016,11,194.881
660,28.01.2016,12,127.868
661,28.01.2016,13,75.884
662,28.01.2016,14,34.832
663,28.01.2016,15,3.063
664,28.01.2016,16,0
665,28.01.2016,17,0
666,28.01.2016,18,0
667,28.01.2016,19,0
668,28.01.2016,20,0
669,28.01.2016,21,0
670,28.01.2016,22,0
671,28.01.2016,23,0
672,29.01.2016,0,0
673,29.01.2016,1,0
674,29.01.2016,2,0
675,29.01.2016,3,0
676,29.01.2016,4,0
677,29.01.2016,5,0
678,29.01.2016,6,0
679,29.01.2016,7,3.604
680,29.01.2016,8,63.866
681,29.01.2016,9,114.459
682,29.01.2016,10,176.605
683,29.01.2016,11,128.322
684,29.01.2016,12,177.425
685,29.01.2016,13,106.178
686,29.01.2016,14,123.602
687,29.01.2016,15,72.516
688,29.01.2016,16,0
689,29.01.2016,17,0
690,29.01.2016,18,0
691,29.01.2016,19,0
692,29.01.2016,20,0
693,29.01.2016,21,0
694,29.01.2016,22,0
695,29.01.2016,23,0
696,30.01.2016,0,0
697,30.01.2016,1,0
698,30.01.2016,2,0
699,30.01.2016,3,0
700,30.01.2016,4,0
701,30.01.2016,5,0
702,30.01.2016,6,0
703,30.01.2016,7,118.375
704,30.01.2016,8,223.466
705,30.01.2016,9,376.098
706,30.01.2016,10,455.382
707,30.01.2016,11,450.705
708,30.01.2016,12,440.564
709,30.01.2016,13,354.724
710,30.01.2016,14,160.653
711,30.01.2016,15,30.387
712,30.01.2016,16,0
713,30.01.2016,17,0
714,30.01.2016,18,0
715,30.01.2016,19,0
716,30.01.2016,20,0
717,30.01.2016,21,0
718,30.01.2016,22,0
719,30.01.2016,23,0
720,31.01.2016,0,0
721,31.01.2016,1,0
722,31.01.2016,2,0
723,31.01.2016,3,0
724,31.01.2016,4,0
725,31.01.2016,5,0
726,31.01.2016,6,0
727,31.01.2016,7,2.523
728,31.01.2016,8,13.482
729,31.01.2016,9,22.946
730,31.01.2016,10,47.53
731,31.01.2016,11,39.852
732,31.01.2016,12,22.971
733,31.01.2016,13,11.874
734,31.01.2016,14,3.943
735,31.01.2016,15,0.758
736,31.01.2016,16,0
737,31.01.2016,17,0
738,31.01.2016,18,0
739,31.01.2016,19,0
740,31.01.2016,20,0
741,31.01.2016,21,0
742,31.01.2016,22,0
743,31.01.2016,23,0
744,01.02.2016,0,0
745,01.02.2016,1,0
746,01.02.2016,2,0
747,01.02.2016,3,0
748,01.02.2016,4,0
749,01.02.2016,5,0
750,01.02.2016,6,0
